Object ID,Department,AccessionYear,Object Name,Title,Culture,Artist,Artist Nationality,Artist Begin Date,Artist End Date,Artist Gender,Object Date,Object Begin Date,Object End Date,Dimensions,Credit Line,Classification,Link Resource,Repository
6289,The American Wing,1910,Plate,Plate,"Chinese, for American market",,,,,,1785–90,1785,1790,Diam. 9 in. (22.9 cm),"Bequest of James T. Woodward, 1910",Ceramics,http://www.metmuseum.org/art/collection/search/6289,"Metropolitan Museum of Art, New York, NY"
6290,The American Wing,1910,Plate,Plate,"Chinese, for American market",,,,,,1785–90,1785,1790,Diam. 9 in. (22.9 cm),"Bequest of James T. Woodward, 1910",Ceramics,http://www.metmuseum.org/art/collection/search/6290,"Metropolitan Museum of Art, New York, NY"
6291,The American Wing,1910,Plate,Plate,"Chinese, for American market",,,,,,1785–90,1785,1790,Diam. 9 in. (22.9 cm),"Bequest of James T. Woodward, 1910",Ceramics,http://www.metmuseum.org/art/collection/search/6291,"Metropolitan Museum of Art, New York, NY"
6292,The American Wing,1910,Plate,Plate,"Chinese, for American market",,,,,,1785–90,1785,1790,Diam. 9 in. (22.9 cm),"Bequest of James T. Woodward, 1910",Ceramics,http://www.metmuseum.org/art/collection/search/6292,"Metropolitan Museum of Art, New York, NY"
6293,The American Wing,1910,Plate,Plate,"Chinese, for American market",,,,,,1785–90,1785,1790,Diam. 9 in. (22.9 cm),"Bequest of James T. Woodward, 1910",Ceramics,http://www.metmuseum.org/art/collection/search/6293,"Metropolitan Museum of Art, New York, NY"
6294,The American Wing,1910,Plate,Plate,"Chinese, for American market",,,,,,1785–90,1785,1790,Diam. 9 in. (22.9 cm),"Bequest of James T. Woodward, 1910",Ceramics,http://www.metmuseum.org/art/collection/search/6294,"Metropolitan Museum of Art, New York, NY"
6295,The American Wing,1910,Plate,Plate,"Chinese, for American market",,,,,,1785–90,1785,1790,Diam. 9 in. (22.9 cm),"Bequest of James T. Woodward, 1910",Ceramics,http://www.metmuseum.org/art/collection/search/6295,"Metropolitan Museum of Art, New York, NY"
6296,The American Wing,1910,Plate,Plate,"Chinese, for American market",,,,,,1785–90,1785,1790,Diam. 9 in. (22.9 cm),"Bequest of James T. Woodward, 1910",Ceramics,http://www.metmuseum.org/art/collection/search/6296,"Metropolitan Museum of Art, New York, NY"
6297,The American Wing,1910,Plate,Plate,"Chinese, for American market",,,,,,1785–90,1785,1790,Diam. 9 in. (22.9 cm),"Bequest of James T. Woodward, 1910",Ceramics,http://www.metmuseum.org/art/collection/search/6297,"Metropolitan Museum of Art, New York, NY"
6298,The American Wing,1910,Plate,Plate,"Chinese, for American market",,,,,,1785–90,1785,1790,Diam. 9 in. (22.9 cm),"Bequest of James T. Woodward, 1910",Ceramics,http://www.metmuseum.org/art/collection/search/6298,"Metropolitan Museum of Art, New York, NY"
