last_name,first_name,birth,death,function,languages,raw_entry,author_id
Tucker,George Fox,1852,1929,author,en,"Tucker, George Fox, 1852-1929",20872
Dyce,Alexander,1798,1869,contributor,en,"Dyce, Alexander, 1798-1869 [Contributor]",20873
Bottrell,William,1816,1881,author,en,"Bottrell, William, 1816-1881",20874
Stauffer,Frank H.,1832,1895,author,en,"Stauffer, Frank H., 1832-1895",20875
Bernoulli,Daniel,1700,1782,author,la,"Bernoulli, Daniel, 1700-1782",20876
Storr,Francis,1839,1919,editor,en,"Storr, Francis, 1839-1919 [Editor]",20877
Campbell,Thomas Joseph,1848,1925,author,en,"Campbell, Thomas J. (Thomas Joseph), 1848-1925",20878
Gravelot,Hubert François,1699,1773,illustrator,fr,"Gravelot, Hubert François, 1699-1773 [Illustrator]",20879
Saleeby,Najeeb Mitry,1870,,author,en,"Saleeby, Najeeb M. (Najeeb Mitry), 1870-",20880
Hewlett,Albion Walter,1874,1925,author,en,"Hewlett, Albion Walter, 1874-1925",20881
Puckner,William August,1864,,author,en,"Puckner, William August, 1864-",20882
Sollmann,Torald Hermann,1874,1965,author,en,"Sollmann, Torald Hermann, 1874-1965",20883
Wilbert,Martin Inventius,1865,1916,author,en,"Wilbert, Martin I. (Martin Inventius), 1865-1916",20884
Châteauneuf,Alexis de,1799,1853,author,en,"Châteauneuf, Alexis de, 1799-1853",20885
Eastlake,"Charles Lock, Sir",1793,1865,author,en,"Eastlake, Charles Lock, Sir, 1793-1865",20886
Fox,"Mary, Lady",1798,1864,editor,en,"Fox, Mary, Lady, 1798-1864 [Editor]",20887
South,Richard,,,author,en,"South, Richard",20888
Dickinson,William Howship,1832,1913,author,en,"Dickinson, W. Howship (William Howship), 1832-1913",20889
Bayley,Harold,,,author,en,"Bayley, Harold",20890
United States. Congress. Joint Committee on the Conduct of the War,,,,author,en,United States. Congress. Joint Committee on the Conduct of the War,20891
Gooch,Daniel Wheelwright,1820,1891,author,en,"Gooch, Daniel W. (Daniel Wheelwright), 1820-1891",20892
Wade,Benjamin Franklin,1800,1878,author,en,"Wade, B. F. (Benjamin Franklin), 1800-1878",20893
Gatacre,"Beatrix Wickens Davey, Lady",,,author,en,"Gatacre, Beatrix Wickens Davey, Lady",20894
Reyes,José Maria de los,,,author,es,"Reyes, José Maria de los",20895
Jackson,Charles Ross,1867,1915,author,en,"Jackson, Charles Ross, 1867-1915",20896
Douglas,James,1867,1940,author,en,"Douglas, James, 1867-1940",20897
Whyte,Christina Gowans,1869,1961,author,en,"Whyte, Christina Gowans, 1869-1961",20898
Weale,James Cyril M.,,,author,en,"Weale, J. Cyril M. (James Cyril M.)",20899
Searight,Thomas Brownfield,,,author,en,"Searight, Thomas B. (Thomas Brownfield)",20900
Buick,Thomas Lindsay,1866,1938,author,en,"Buick, Thomas Lindsay, 1866-1938",20901
MacFarlane,Charles,1799,1858,author,en,"MacFarlane, Charles, 1799-1858",20902
Shriner,Charles Anthony,1853,1945,author,en,"Shriner, Charles A. (Charles Anthony), 1853-1945",20903
Haskin,Frederic Jennings,1872,1944,author,en,"Haskin, Frederic J. (Frederic Jennings), 1872-1944",20904
Edgcumbe,Richard,1843,1937,author,en,"Edgcumbe, Richard, 1843-1937",20905
Ford,Jeremiah Denis Matthias,1873,1958,editor,en,"Ford, J. D. M. (Jeremiah Denis Matthias), 1873-1958 [Editor]",20906
