Text#,Title,Authors,Subjects,Bookshelves
65954,"General Crook and the Fighting Apaches
Treating Also of the Part Borne by Jimmie Dunn in the days, 1871-1886, When With Soldiers and Pack-trains and Indian Scouts, but Employing the Stronger Weapons of Kindness, Firmness and Honesty, the Gray Fox Worked Hard to the End That the White Men and the Red Men in the Southwest as in the Northwest Might Better Understand One Another","Sabin, Edwin L. (Edwin Legrand), 1870-1952; Stephens, Charles H., 1851-1931 [Illustrator]",Historical fiction; Apache Indians -- Wars -- Fiction,Browsing: Culture/Civilization/Society; Browsing: History - Warfare; Browsing: Fiction
65955,Orienting the House: A Study of the Placing of the House with Relation to the Sun's Rays,American Face Brick Association,"Architecture, Domestic; Homesites -- Planning",Browsing: Architecture; Browsing: Engineering & Construction
65956,The Beachcomber,"Knight, Damon, 1922-2002; Terry, W. E., 1921-1992 [Illustrator]",Science fiction; Short stories; Time travel -- Fiction,Browsing: Literature; Browsing: Science-Fiction & Fantasy; Browsing: Fiction
65957,"Joan, the Curate","Warden, Florence, 1857-1929",Love stories; Adventure stories; England -- Social life and customs -- 18th century -- Fiction; Smuggling -- Fiction,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction
65959,Earth's Gone to the Dogs!,"McClellan, William J.; Terry, W. E., 1921-1992 [Illustrator]",Science fiction; Short stories; Dogs -- Fiction,Browsing: Literature; Browsing: Science-Fiction & Fantasy; Browsing: Fiction
65960,"The Little Review, March 1915 (Vol. 2, No. 1)","Various; Anderson, Margaret C., 1886-1973 [Editor]","Literature, Modern -- 20th century -- Periodicals",Browsing: Journals; Browsing: Literature
65961,When Oscar Went Wild,"Tuttle, W. C. (Wilbur C.), 1883-1969",Short stories; Western stories; Cowboys -- Fiction; Motion pictures -- Production and direction -- Fiction,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction
65962,Treatise on landscape painting in water-colours by David Cox,"Cox, David, 1783-1859; Baldry, A. L. (Alfred Lys), 1858-1939 [Author of introduction, etc.]; Holme, C. Geoffrey (Charles Geoffrey), 1887-1954 [Editor]",Landscape painting; Watercolor painting,Browsing: Art & Photography; Browsing: Culture/Civilization/Society
65964,"The Girl's Own Paper, Vol. VIII, No. 370, January 29, 1887",Various,Children's literature -- Periodicals,Browsing: Children & Young Adult Reading; Browsing: Encyclopedias/Dictionaries/Reference
65965,The Jade Story Book; Stories from the Orient,"Coussens, Penrhyn Wingfield, 1873-1944; Walker, Dugald Stewart, 1883-1937 [Illustrator]",Tales -- Asia,Browsing: Culture/Civilization/Society; Browsing: Literature
65966,Roundabout to Moscow: An Epicurean Journey,"Bouton, John Bell, 1830-1902",Europe -- Description and travel; Russia -- Description and travel,Browsing: History - General; Browsing: Travel & Geography
65967,"The History of Silk, Cotton, Linen, Wool, and Other Fibrous Substances;
Including Observations on Spinning, Dyeing, and Weaving.","Gilroy, Clinton G.","History, Ancient; Textile fabrics -- History",Browsing: Engineering & Construction; Browsing: History - Ancient; Browsing: History - General
65968,"The House We Live In; or, The Making of the Body","Farnsworth, Vesta J.",Physiology -- Juvenile literature; Hygiene -- Juvenile literature,Browsing: Children & Young Adult Reading; Browsing: Health & Medicine; Browsing: Science - General
65970,Which Shall Live—Men or Animals?,"Baynes, Ernest Harold, 1868-1925",Vivisection,Browsing: Philosophy & Ethics; Browsing: Psychiatry/Psychology; Browsing: Religion/Spirituality/Paranormal
65971,Red and Black,"Richmond, Grace S. (Grace Smith), 1866-1959; Rogers, Frances [Illustrator]","Physicians -- Fiction; Mate selection -- Fiction; Clergy -- Fiction; Male friendship -- Fiction; World War, 1914-1918 -- United States -- Fiction",Browsing: Literature; Browsing: Fiction
65972,"The Plague of Athens, which hapned in the second year of the Peloponnesian Warre
First described in Greek by Thucydides; then in Latin by Lucretius. Now attempted in English","Sprat, Thomas, 1635-1713; Hobbes, Thomas, 1588-1679; Thucydides, 456? BCE-396 BCE","Greece -- History -- Peloponnesian War, 431-404 B.C.; Plague -- Greece -- Athens",Browsing: History - General; Browsing: History - Warfare
