Topics,Subjects_Count
Psychoanalysis,42
Household employees -- Fiction,42
College students -- Juvenile fiction,42
Princesses -- Fiction,42
Swedish fiction,42
Tragicomedy,42
China -- Description and travel,42
California -- Description and travel,41
Christianity,41
Aristocracy (Social class) -- Fiction,41
Russia -- Social life and customs -- 1533-1917 -- Fiction,41
Rome -- History,41
"Philosophy, Ancient",41
Theosophy,41
World history,41
Shipwreck survival -- Fiction,41
Interpersonal relations -- Fiction,41
Animals -- Anecdotes,41
Superstition,40
Southern States -- Fiction,40
American essays,40
Kidnapping -- Juvenile fiction,40
Outlaws -- Fiction,40
"France -- History -- Louis XIV, 1643-1715",40
Russian fiction -- Translations into English,40
Thieves -- Juvenile fiction,40
Motorboats -- Juvenile fiction,40
"Children's poetry, American",40
England -- Social life and customs,40
Spanish fiction -- 20th century,40
Americans -- England -- Fiction,40
"Literature, Modern -- 20th century -- Periodicals",40
Missouri -- Fiction,40
Death -- Fiction,39
Storytelling -- Fiction,39
Amusements,39
"Wit and humor, Juvenile",39
Technology -- Periodicals,39
English drama (Comedy),39
Wessex (England) -- Fiction,39
Catholic Church -- Periodicals,39
Hygiene,39
Maine -- Juvenile fiction,39
Portuguese fiction -- 19th century,39
Robinsonades,39
India -- Description and travel,39
"Historical fiction, American",39
"United States -- History -- Revolution, 1775-1783 -- Fiction",39
"Short stories, English -- Periodicals",39
South America -- Description and travel,39
Birds -- Juvenile fiction,39
Natural history -- Juvenile literature,39
Musicians -- Fiction,39
Inventions -- Fiction,39
Europe -- History -- 18th century -- Biography,38
Kidnapping -- Fiction,38
Children -- Fiction,38
Frontier and pioneer life -- West (U.S.),38
American essays -- 19th century,38
Legal stories,38
English poetry -- 18th century,38
Baseball -- Juvenile fiction,38
Italian fiction -- 20th century,38
Outer space -- Exploration -- Fiction,38
"South African War, 1899-1902",38
"Casanova, Giacomo, 1725-1798",38
"Swift, Tom (Fictitious character) -- Juvenile fiction",38
Arthurian romances -- Adaptations,38
"Knowledge, Theory of",38
Great Britain -- Kings and rulers -- Drama,38
Sunday school literature,38
Women detectives -- Juvenile fiction,37
American drama,37
African Americans,37
American essays -- 20th century,37
Epic literature,37
"World War, 1914-1918 -- Campaigns -- Western Front",37
Sexual ethics,37
"Fantasy fiction, English",37
Tarzan (Fictitious character) -- Fiction,37
American literature -- 19th century -- Periodicals,37
"Epic poetry, Italian -- Translations into English",37
San Francisco (Calif.) -- Fiction,37
French poetry -- 19th century,37
Geography -- Pictorial works -- Periodicals,36
Political science,36
Shipwreck survival -- Juvenile fiction,36
Storytelling -- Juvenile fiction,36
Mothers and sons -- Juvenile fiction,36
New York (State) -- Fiction,36
Japan -- Fiction,36
Trials (Murder) -- Fiction,36
United States -- Politics and government -- 19th century -- Periodicals,36
Americans -- Europe -- Fiction,36
Netherlands -- Church history,36
United States -- Politics and government -- 1861-1865,36
Painting,36
English drama -- 17th century,36
Abduction -- Fiction,36
