Text#,Title,Language,Authors,Subjects,Bookshelves
59887,Virgil,en,"Collins, W. Lucas (William Lucas), 1817-1887",Virgil,Browsing: Language & Communication; Browsing: Literature
59888,"Termini medici in lingua fennica occurrentes
Dissertatio academica",la,"Törngren, Johannes Agapetus, 1772-1859",Medicine -- Terminology; Finnish language -- Foreign words and phrases -- Latin,Browsing: Encyclopedias/Dictionaries/Reference; Browsing: Health & Medicine; Browsing: Language & Communication
59889,"Thomas l'imposteur
Histoire",fr,"Cocteau, Jean, 1889-1963","Impostors and imposture -- Fiction; Imagination -- Fiction; World War, 1914-1918 -- France -- Fiction",FR Littérature; Browsing: History - General; Browsing: Literature; Browsing: Fiction
59890,"Our Union and Its Defenders
An Oration, Delivered Before the Citizens of Burlington, N.J., on the Occasion of Their Celebration of the Eighty-Sixth Anniversary of Independence Day, July 4th, 1862",en,"Pugh, J. Howard (John Howard), 1827-1905","Fourth of July orations; United States -- History -- Civil War, 1861-1865 -- Religious aspects",Browsing: History - American; Browsing: History - Warfare; Browsing: Religion/Spirituality/Paranormal
59891,"Reginald Bateman, Teacher and Soldier
A Memorial Volume of Selections from His Lectures and Other Writings",en,"Bateman, Reginald, 1884?-1918","World War, 1914-1918; English literature -- History and criticism; Bateman, Reginald, 1884?-1918",Browsing: History - Warfare; Browsing: Literature; Browsing: Teaching & Education
59892,"Changeling, and Other Stories",en,"Byrne, Donn, 1889-1928","Ireland -- Social life and customs -- Fiction; Short stories, Irish",Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction
59893,The Charing Cross Mystery,en,"Fletcher, J. S. (Joseph Smith), 1863-1935",Detective and mystery stories; Murder -- Investigation -- Fiction; Lawyers -- Fiction; London (England) -- Social life and customs -- 20th century -- Fiction,Browsing: Culture/Civilization/Society; Browsing: Crime/Mystery; Browsing: Literature; Browsing: Fiction
59894,The Passing Throng,en,"Guest, Edgar A. (Edgar Albert), 1881-1959",American poetry -- 20th century,Browsing: Literature; Browsing: Poetry
59895,The Four Stragglers,en,"Packard, Frank L. (Frank Lucius), 1877-1942","Detective and mystery stories; World War, 1914-1918 -- Veterans -- Fiction",Browsing: Crime/Mystery; Browsing: History - Warfare; Browsing: Fiction
59896,Newfoundland Verse,en,"Pratt, E. J. (Edwin John), 1882-1964",Canadian poetry; Newfoundland and Labrador -- Poetry,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Poetry
